Dataset,Hardware,ds_key,hw_key,exp_name,Label,Short,Seed,HV,IGD,Spacing
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,0,1.0458324821098592,0.011094964742013928,0.06102041035928194
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,1,1.0435852765592373,0.009744195822236172,0.03339324097782108
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,2,1.046314895965019,0.0046940796627659796,0.09326225601238226
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,3,1.046063544787478,0.01466843778346642,0.0042270007184666515
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,4,1.046259879924556,0.010336304987390642,0.0069176908041845364
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,5,1.045693789774056,0.015059014977217084,0.07035330000536957
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,6,1.045461505185033,0.010603619055070786,0.06539111905323731
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,7,1.0479251274419872,0.002766811201237427,0.1501699366911319
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,8,1.0407905564985356,0.022939218544716054,0.0027822796410510043
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,9,1.0449811805729377,0.014977556675617907,0.07362464672427811
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,10,1.0470520265588747,0.0024110123641219615,0.01503427977433573
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,11,1.0471088504255104,0.0026147114311952818,0.13211009050436773
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,12,1.0456328822472243,0.011144572477172893,0.06858474472666987
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,13,1.0472317538074905,0.004639906532755958,0.08469904806918256
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,14,1.0470341629616862,0.002638368248515514,0.06583239703901181
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,15,1.047005739685539,0.0026671552576899788,0.14625445604477982
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,16,1.047386977455321,0.002408212652320472,0.026878917908432762
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,17,1.042159723935821,0.019562990469509343,0.026359388779719786
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,18,1.0464526479923386,0.004729298700848315,0.04202781923667326
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,19,1.047314019758547,0.0025369143480345815,0.00858271983827485
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,20,1.0460868294698538,0.0060984536245486795,0.10412003635049819
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,21,1.0465743144661912,0.00821542357380254,0.18013751111634563
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,22,1.0464125692641042,0.013630606498246402,0.07137371715219355
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,23,1.0459236254064632,0.012481754311016998,0.06967604383749003
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,24,1.0454224370036163,0.01246717461812634,0.005523810788603195
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,25,1.0454482750283391,0.009730381431534374,0.08847014136485086
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,26,1.0464460591643872,0.0027680578974273095,0.071138090954452
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,27,1.0456602983668684,0.011214330319455294,0.07420916598740239
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,28,1.0476765852506174,0.0024452804999419474,0.12037371875201042
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,ga_only,C2: GA only,GA only,29,1.0464456189708176,0.006128717832042721,0.1458990992734749
CIFAR-10,RPi-4,cifar10,raspi4_latency,ga_only,C2: GA only,GA only,0,1.1245600302758112,0.002915130854520227,0.09449686082077864
CIFAR-10,RPi-4,cifar10,raspi4_latency,ga_only,C2: GA only,GA only,1,1.123971786047883,0.003023264631687081,0.0845412266268784
CIFAR-10,RPi-4,cifar10,raspi4_latency,ga_only,C2: GA only,GA only,2,1.124568863225584,0.003281685658212278,0.10662024857982251
CIFAR-10,RPi-4,cifar10,raspi4_latency,ga_only,C2: GA only,GA only,3,1.1244414779399154,0.0024092461202672145,0.020617665517458965
CIFAR-10,RPi-4,cifar10,raspi4_latency,ga_only,C2: GA only,GA only,4,1.1209232214657427,0.003916419322366672,0.07957873978159047
