Dataset,Hardware,ds_key,hw_key,exp_name,Label,Short,Seed,HV,IGD,Spacing
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,0,1.0467686279181512,0.004699887892972315,0.012549185797277849
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,1,1.0473036504436732,0.005820066705132801,0.05096944202536632
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,2,1.047126808344688,0.01166765207212293,0.03560305359495774
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,3,1.0466633162668721,0.005282308130514709,0.019958839973357373
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,4,1.047741642148321,0.005788447316191822,0.04847511696673212
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,5,1.0477694460989642,0.006505323345277815,0.053016906064160534
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,6,1.0471551274652282,0.0025291883854692385,0.057037134545751995
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,7,1.0478696925601678,0.001411902845257877,0.004684993507276686
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,8,1.0474591125503638,0.007481292936037831,0.0514797761695664
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,9,1.0474227546762085,0.008931695957242289,0.0439086588916574
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,10,1.0478542962687192,0.0073179505154617195,0.05440424588539176
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,11,1.0476902352619888,0.0026791453351732507,0.06067534906889071
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,12,1.0476329768857828,0.002373056406229422,0.014759785225729
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,13,1.0476614877110932,0.00754946333239153,0.06806534919314526
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,14,1.047162081226033,0.0031928169131125094,0.05257146238057099
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,15,1.0468855435273856,0.008680734484855748,0.07259584568689487
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,16,1.0463947926740207,0.006243351342180574,0.04093019247243219
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,17,1.0457580379241889,0.00634587553559872,0.041054046811448655
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,18,1.0486733401772355,0.0036135424315814437,0.047556671192597655
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,19,1.0452343252938234,0.009098767516777781,0.07949112954189996
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,20,1.0472367413063408,0.005797774206286842,0.04242494722614148
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,21,1.0431642289334686,0.02186848167630828,0.0030846574893025752
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,22,1.0468843304290023,0.0012949182388361812,0.04068635321940101
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,23,1.0462505348146625,0.009194786920688869,0.074094532457338
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,24,1.0486822892812508,0.002272786729750755,0.04360846335386907
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,25,1.0471744157547749,0.0061181464901445895,0.06884437074146087
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,26,1.0476026817227455,0.0011447136229198942,0.06334959462806634
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,27,1.047043916527771,0.007420905361241773,0.05420611560971584
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,28,1.0479889428526654,0.0011409387815769694,0.04670137238162469
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,moead_only,C1: MOEA/D only,MOEA/D only,29,1.0476558118526031,0.0072202000044352555,0.04902628328023643
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,0,1.1236548988765578,0.0025775053953864605,0.061546098919705854
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,1,1.124427454166309,0.0025460058342829965,0.07457113591255934
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,2,1.124189051667504,0.0022670105499367314,0.021667827349778856
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,3,1.1251300292000972,0.002215873354154871,0.06942734387166172
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,4,1.12433001284605,0.0038333879721959897,0.048956321988748414
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,5,1.1244474053922917,0.0035901391270231242,0.07326504814528687
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,6,1.1241101655325776,0.001956994878621815,0.05627063052308542
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,7,1.1252415150015045,0.001988406704781225,0.06573215314547569
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,8,1.1241004014837974,0.0018832892276252646,0.05896185665581544
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,9,1.1244541383092461,0.003899019896568798,0.019799915394408583
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,10,1.1257142756079923,0.002594275629731748,0.04266042752428876
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,11,1.123966119446079,0.0019992803082898624,0.021463374234166475
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,12,1.1246442124061533,0.0034942974375141295,0.04857631452496657
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,13,1.1245667442850733,0.0026350182603960765,0.004697578162848503
CIFAR-10,RPi-4,cifar10,raspi4_latency,moead_only,C1: MOEA/D only,MOEA/D only,14,1.1236327350556337,0.0027369096237821007,0.012749485496423536
