Dataset,Hardware,ds_key,hw_key,exp_name,Label,Short,Seed,HV,IGD,Spacing
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,0,0.7843426329521618,0.11750835299192873,0.031834330767115726
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,1,1.0303495710411679,0.06989546779475987,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,2,0.9158427326572605,0.13232334857106762,0.008319355559193655
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,3,0.8160018148874684,0.12965602767634815,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,4,1.0330304790560223,0.05698025194190269,0.005583644545525687
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,5,0.7896800119117658,0.11686979537545063,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,6,0.9601969872804118,0.059265605378623264,0.0007286105790124255
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,7,1.034464352301716,0.09423395726512673,0.0001033307688476774
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,8,0.8310483676292109,0.09200569789209737,0.01225052502514481
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,9,0.7740930855595891,0.11426513504403726,0.00019007775254455985
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,10,0.5407426728792937,0.2570048907776095,0.0017163634521659803
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,11,0.7917469763439373,0.1254502080169764,0.0018271823203283813
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,12,0.8339675314741046,0.11920943972340346,0.005601065227104535
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,13,0.9438942667769531,0.12415565390277661,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,14,0.6503468809136381,0.17854642695876258,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,15,1.0311672671857341,0.09519904346488618,0.00017789857717456016
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,16,0.8032494290080943,0.1227801315232865,0.004672408239658412
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,17,0.7274360811319752,0.170991856248618,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,18,0.852427125306872,0.10091788046124871,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,19,0.8923095292545831,0.09239132095737186,0.0003274280063748258
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,20,1.0376124428634887,0.0992417983674949,0.07187691747886446
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,21,0.7433446201463761,0.1268070851571407,0.005868933924835912
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,22,1.0154120280170034,0.1026197577813918,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,23,1.0282758083161512,0.09022612560874446,0.033051602524634745
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,24,0.7955259468407525,0.11896130454952825,0.015636442610809948
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,25,0.8215465794873983,0.1372272869934626,0.032638064187092024
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,26,0.6850261699782203,0.19906280708148888,0.062028642087085945
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,27,0.8001669389490043,0.09502103403379057,0.0
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,28,1.032851827629715,0.10134104516158553,0.0057702306631557745
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_ga,T3: No GA,No GA,29,1.0345115352939802,0.04248122557428652,0.0
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,0,1.108970691526749,0.03071100390979477,0.015059688056713578
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,1,1.1479984276937483,0.028196775444222645,0.0364687380616037
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,2,1.1083268782102884,0.025892002895351096,0.0027290879716013313
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,3,1.0642326761031993,0.05300454935484227,0.0
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,4,1.144204786084229,0.01356379106693692,0.003895701307535169
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,5,1.042111351057383,0.07357684358112278,0.00022335582825461607
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,6,1.0703517050430464,0.05019634762921195,0.0008793378234972268
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,7,1.1392849210156197,0.018331168873483964,0.007615437963032209
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,8,1.0979461339477625,0.04837011765819071,0.046914129917565904
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,9,1.105656240824744,0.035933449874684664,0.0026107160514716333
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,10,1.1058890904336647,0.03456671133157178,0.003638877304013937
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,11,1.139775027503351,0.03427419131690774,0.0018457690075759
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,12,1.0795599126340734,0.10627258782078017,0.017228565572423284
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,13,1.1023208432963245,0.03177478244120212,0.0
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,14,0.9912283415344704,0.11583794656690663,0.0007767388299477299
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,15,1.1325602862131086,0.040057833184098904,0.005017351421989783
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,16,1.108822312645628,0.021571412647072442,0.0014226037027807623
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,17,1.136573802658846,0.0400023491807046,0.0023286941336592725
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,18,1.1004587379747857,0.02363968796192799,0.012075486681766862
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,19,1.1372442876872526,0.034306314242437505,0.032864271073644695
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,20,1.1346550220890956,0.014080247983763778,0.003889060418829972
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,21,1.1115486289194048,0.020581758735236048,0.04200739744578995
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,22,1.1379001229468426,0.027537347709062614,0.0009657592294482553
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,23,1.1411106382886764,0.041183841651041046,0.003140410796379859
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,24,1.0941599687822563,0.03628879292400715,0.007752855517470971
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,25,1.1052229289987043,0.02139601506850162,0.031766097824559275
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,26,1.0835601042913017,0.04683840070626579,0.03414970011798586
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,27,1.108043535191081,0.03111461534052189,0.002655887671807829
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,28,1.1341099734065412,0.04647231334183831,0.0020449148842979783
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_ga,T3: No GA,No GA,29,1.1464187256972451,0.014574482247239241,0.002588721699461354
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_ga,T3: No GA,No GA,0,0.8446479197735554,0.12522150063471277,0.007213164716435374
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_ga,T3: No GA,No GA,1,0.912136892061034,0.07557012163346037,0.0
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_ga,T3: No GA,No GA,2,0.855018406205285,0.11118448385717275,0.0
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_ga,T3: No GA,No GA,3,0.65324799892054,0.2380646903804469,0.0
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_ga,T3: No GA,No GA,4,0.874490820057417,0.1510436663179032,0.002305037640527814
