Dataset,Hardware,ds_key,hw_key,exp_name,Label,Short,Seed,HV,IGD,Spacing
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,0,1.0452874237577163,0.013894735338865398,0.030029334630901166
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,1,1.0466519674443069,0.01175005597689539,0.0009371134172437258
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,2,1.0447971106766534,0.018202238085401296,0.028469438902818014
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,3,1.0400442536499943,0.064247015276584,0.007213092540724299
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,4,1.0450916292626973,0.02410305885474941,0.030534393251455166
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,5,1.0453155535978755,0.03865222829671737,0.03406597187649803
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,6,1.045368483218447,0.012770302558645787,0.028681426705804567
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,7,1.0438538955953587,0.05637594801657093,0.029313503607761693
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,8,1.0399352381905216,0.01871695752042215,0.01261399071904925
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,9,1.0430949962397593,0.030227542142268412,0.030472768670861634
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,10,1.0449938129536394,0.011765777212790532,0.03319412420923218
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,11,1.041733733124091,0.024442220109167866,0.031047283390359524
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,12,1.045990308949243,0.03698353229004074,0.03132120819153005
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,13,1.0446981659920467,0.015607182344893545,0.030422545479224034
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,14,1.045014142071958,0.010633818011015057,0.028477826990205714
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,15,1.0452329278805639,0.013774811277452755,0.028344303895078096
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,16,1.0404058041127018,0.04583787665492633,0.029656646229439754
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,17,1.0436934104416196,0.013262045542621101,0.028264342822057448
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,18,1.0448432900296187,0.011336421862596696,0.05682095840748404
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_moead,T4: No MOEA/D,No MOEA/D,19,1.0449823664248967,0.011767997044557115,0.006247770402657982
