Dataset,Hardware,ds_key,hw_key,exp_name,Label,Short,Seed,HV,IGD,Spacing
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,0,1.0485909051174327,0.0012575926949867343,0.002456381903778498
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,1,1.0491748957543354,0.0013319050190708354,0.005750666427945978
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,2,1.0492209123215142,0.0013057084812636529,0.09004830461024461
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,3,1.048989724437537,0.002360837585752585,0.0008055252330115189
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,4,1.0484242006728104,0.001377003873257517,0.08577421953319594
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,5,1.0485332700439558,0.0008401286504863447,0.09356473547820547
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,6,1.0481372904246113,0.002918808272731936,0.0881621601742315
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,7,1.049136611268612,0.0013377732155305496,0.008994816294932519
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,8,1.0495251327688455,0.0007861084175133136,0.08469199658175953
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,9,1.0491635225678242,0.001015402187231633,0.017305794318526607
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,10,1.0485896968951738,0.0007786656083679541,0.09760907862821683
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,11,1.0484332922119144,0.0008216152340062314,0.004416419559090026
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,12,1.0494267538284172,0.0007609054437092749,0.07563058144785371
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,13,1.0490106647031114,0.0012747528411596563,0.017206168399103296
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,14,1.0485940282510635,0.006465143079202336,0.0015391179486379711
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,15,1.0501538452575738,0.0012823021447283217,0.005605316765058947
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,16,1.049486787998721,0.0007612410917603164,0.09803124291783064
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,17,1.0482791196669399,0.0019142557948339787,0.08291730110541991
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,18,1.0475377797854195,0.006628376399710321,0.0029158785546745973
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,19,1.0489386260472229,0.0022568562130008385,0.07589488245196527
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,20,1.049548181999322,0.005208474112249718,0.0791850698525562
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,21,1.0486427899383401,0.005971633701896302,0.08774739228235744
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,22,1.0476100889821134,0.0048294582348158395,0.07833340238345866
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,23,1.0482499507366734,0.0017259522709160166,0.08063131642499698
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,24,1.049240420323133,0.0017763279038162862,0.008309884964630384
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,25,1.0495761641767638,0.006782550862559745,0.09830494878841506
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,26,1.0495776256149516,0.003815911388756863,0.0015506638995055897
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,27,1.048280265727376,0.0024572511172213387,0.0040613606639089
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,28,1.0488161722150269,0.005939615180639001,0.005132502067656962
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_pso,T2: No PSO,No PSO,29,1.0485646377527906,0.0013074532509915633,0.0029436157907318196
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,0,1.157654024870007,0.0017028996130836365,0.0833686782060788
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_pso,T2: No PSO,No PSO,1,1.1572831924554845,0.0016385454373954598,0.0825970528139129
