Dataset,Hardware,ds_key,hw_key,exp_name,Label,Short,Seed,HV,IGD,Spacing
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,0,1.0486008587575284,0.0033548283149378963,0.039685214460665724
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,1,1.0480625769962864,0.003261112436088766,0.035363995675232046
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,2,1.0480453513707113,0.01008827584008402,0.004267272218432272
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,3,1.0474731799139407,0.008516987257156265,0.0038845233402158928
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,4,1.0474899398488449,0.004423188480123096,0.004037158284364902
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,5,1.048585001784094,0.008903236251121379,0.03479029981547974
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,6,1.0475362731891926,0.007836026149596149,0.024843426504311716
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,7,1.0480021734298917,0.0017485616242995349,0.00423160824998153
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,8,1.0483422388399128,0.007288122349415619,0.0011561993755027289
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,9,1.048470457920473,0.011011259477682703,0.011757155532137423
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,10,1.0473289688449774,0.008148744846517803,0.01030700094750138
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,11,1.0458884846061967,0.015477907081954604,0.03641537657265079
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,12,1.0476518930433283,0.005888234027909198,0.04809908511042743
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,13,1.0463560848427302,0.014784909329746776,2.3941060389047397e-05
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,14,1.0475720202399563,0.014034985556409774,0.0059903070836558
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,15,1.047907334088812,0.01091451996067984,0.004337136027209686
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,16,1.0481303688256505,0.02357216004908834,0.010262200378923543
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,17,1.0474031720427743,0.006925926543625993,0.002567377535347944
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,18,1.0476190882105316,0.006989392836974016,0.0009199892136350003
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,19,1.0484297465279948,0.0008098864553645036,0.0010845726789174884
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,20,1.048171482152116,0.007808494126453352,0.0023134871026564865
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,21,1.0464305557836275,0.007314514652466737,0.007294266172257885
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,22,1.0478900832823879,0.002139129691585537,0.061520632644637835
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,23,1.048919560848959,0.005718928676361876,0.0432494233338773
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,24,1.04709265078736,0.010248981981482436,0.004631695114369013
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,25,1.0458838119716163,0.01654436567002972,0.07292070544762277
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,26,1.0479993684265627,0.00802445217340781,0.005010936539685581
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,27,1.0475917552238034,0.002196787106675416,0.03672929443896983
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,28,1.0464627503854913,0.005708243018934427,0.03853783809799131
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,no_restart,T6: No Restart,No Restart,29,1.0481246145709722,0.004283027010954597,0.03504762669680446
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,0,1.1566631539346486,0.003636817078615944,0.00868438105587797
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,1,1.1565630977234347,0.003976354159781808,0.0034363379567790182
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,2,1.1572421132003103,0.0023157739314111753,0.04309155199311525
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,3,1.1566698416404821,0.0024491119299790767,0.004562046428922113
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,4,1.155705651474559,0.0034744502731183947,0.010517228665275897
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,5,1.1565172641194716,0.002118143844794056,0.00413164192118497
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,6,1.1575461302916312,0.0021798560216231004,0.03677556049586554
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,7,1.1550537951470103,0.0051227906579805055,0.0031941372545193037
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,8,1.1559236158205872,0.007776449265866649,0.03991605861458451
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,9,1.1564772870630442,0.002064787844261291,0.002720630498881586
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,10,1.1560462389911468,0.0026472218781544367,0.003707956227138575
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,11,1.1576743453074319,0.0015685112093230713,0.04241899084514895
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,12,1.15361760043724,0.006854407365699869,0.007433665301512476
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,13,1.1550646559118112,0.007886246043539673,0.004212989493822396
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,14,1.1537382184299134,0.004356630986272629,0.0027966458817758996
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,15,1.1533517763166616,0.004693542847537987,0.04120221655880624
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,16,1.156276620982962,0.004441563624777029,0.0294743459811635
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,17,1.157178325977082,0.0019243766818591412,0.046556568612573006
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,18,1.1540872483588616,0.002605384023270594,0.028156321166033768
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,19,1.1551523909156076,0.00419527931425929,0.04151455320470238
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,20,1.1531112868014521,0.003978712209594713,0.0432500388541862
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,21,1.1561186856440546,0.003839733794637558,0.07138755304170609
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,22,1.1563261247139525,0.003212502022068093,0.03358292823766699
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,23,1.1549998597352622,0.005978150387918233,0.002124560884345873
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,24,1.1530480736405755,0.00607622913794941,0.025642601131348672
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,25,1.155859803628191,0.004079005245267727,0.03255484242408523
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,26,1.1576329450818268,0.0021506805826096392,0.004121604400642069
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,27,1.1535194837788305,0.0036565573165078637,0.00458946286225512
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,28,1.1581405479544318,0.0027218131653016873,0.03967033900785645
CIFAR-10,RPi-4,cifar10,raspi4_latency,no_restart,T6: No Restart,No Restart,29,1.1558153538590505,0.0037735585964852837,0.03772757601289234
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,0,1.0314600302691905,0.013315415199841673,0.012328091815286869
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,1,1.005336007145382,0.04202234656728357,0.007795333940908011
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,2,1.0270957487194001,0.018614107100186007,0.006279249873346269
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,3,1.0203294266677008,0.022346780664466933,0.008522797379727784
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,4,1.0273596324196523,0.04639773820980431,0.015094705421010777
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,5,1.0073334313440188,0.03846986389021336,0.019625653006179557
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,6,1.0090053660850138,0.04671910513879475,0.017472421151140356
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,7,1.0302017744633163,0.018580349868634476,0.025676827580093736
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,8,1.0145662775441076,0.023169658029352166,0.00959360034021395
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,no_restart,T6: No Restart,No Restart,9,1.011469153318585,0.0444204675613644,0.004727894189212408
