Dataset,Hardware,ds_key,hw_key,algo_id,Seed,HV,IGD,Spacing,MaxSpread
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,0,1.0627102245877218,0.01083254863054248,0.2036213910810298,1.35607832134656
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,1,1.061248778599782,0.010858493655293656,0.20435417357868585,1.341036534458913
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,2,1.0581573777076503,0.025234394275285954,0.1727166238676321,1.359661077934718
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,3,1.0627735003209784,0.0016888001647949612,0.18983512067948294,1.3521856023274366
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,4,1.0612753002089979,0.010637072044092399,0.19773208430349273,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,5,1.0576882252973632,0.026557363764532473,0.163305206384008,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,6,1.0616239767565125,0.003076563137101099,0.16614546147282974,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,7,1.0620437325970191,0.004676823555741018,0.18981406599690628,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,8,1.0622721440167673,0.010339562683519234,0.19061472108673438,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,9,1.062190561848942,0.009739836948181929,0.19468082821567906,1.3633512359899462
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,10,1.063034047315439,0.00048552942623746726,0.18572960035780864,1.3521856023274366
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,11,1.0621617956876153,0.0076049315399929086,0.17897156557082222,1.3523060939596854
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,12,1.0621035088822197,0.0037627126109627596,0.20870996770252373,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,13,1.0496172647193331,0.0021690606399525462,0.015014259696501537,0.7858987146523744
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,14,1.0627505582386965,0.001407134047618653,0.19417330739081495,1.3521551298432994
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,15,1.0612971038496866,0.011232161901403658,0.1898015078448223,1.3523060939596854
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,16,1.0616701667939643,0.0013111378626955773,0.1862629972271081,1.3521856023274366
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,17,1.0625424632174476,0.0035573424268183296,0.1822700399253306,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,18,1.0608758799657578,0.0021107435835022057,0.20332184396358913,1.325000350066963
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,19,1.0624062208907423,0.003622522129900014,0.17887858573479815,1.3560482140189805
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,20,1.0629332423672748,0.00029276151850374244,0.18201192840127356,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,21,1.063326011522718,0.0014329336683592457,0.1768604929385146,1.35607832134656
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,22,1.062297766729885,0.0012137902093567266,0.1830899752699212,1.3446684933244415
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,23,1.0622345022331612,0.01062204483575977,0.18919256220594732,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,24,1.0611460110749826,0.010764189709000992,0.1896785518916068,1.3522929658377343
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,25,1.0620983464458953,0.010670626760295612,0.18278115178033055,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,26,1.0610913441986722,0.0010478619342313472,0.19827583783498823,1.3252224323420894
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,27,1.058683563011092,0.026157471029267992,0.15647807778425235,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,28,1.06212946519772,0.000260442932737213,0.1778223028220411,1.3524130001055559
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,nsga2,29,1.0582568297410988,0.027100813076504065,0.1692603380789395,1.3524130001055559
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,0,1.1662925495785461,0.0011781337424784548,0.1517689841682042,1.3129414372545656
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,1,1.1663872081199076,0.0010577475166744764,0.1494558838637236,1.3129427392202315
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,2,1.1665204840111807,0.0019658168456485456,0.1658973456221568,1.3239612663105937
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,3,1.1660224801989243,0.0021922128706061703,0.1687800899076925,1.3239615382774004
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,4,1.1664398500336286,0.001294859708698334,0.16160214240975154,1.2332512988407753
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,5,1.1663141712620706,0.0017460855312080722,0.17353464311537092,1.3239598226685878
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,6,1.1663286292228892,0.0014238989951588356,0.14959757608654747,1.312941042924678
