Dataset,Hardware,ds_key,hw_key,exp_name,Label,Short,Seed,HV,IGD,Spacing
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,0,1.0455809780363536,0.01195192435364257,0.035888889885075534
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,1,1.0458110564388583,0.007018023759451511,0.019043306719270507
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,2,1.0464807632784825,0.0016451014315214895,0.08001874702168033
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,3,1.0394143396100823,0.01912348598098058,0.011232603966550191
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,4,1.046910290207885,0.0032113885584102,0.03524214161460785
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,5,1.0449307152225695,0.011184810615595096,0.033899677292123225
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,6,1.0441335168729498,0.012652630039099375,0.00028141284378767567
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,7,1.0459330107508205,0.01061615337960709,0.008677052386545108
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,8,1.0469820634868228,0.004351645191828026,0.007312298228635527
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,9,1.045018537525338,0.010556296992584674,0.03585523900298001
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,10,1.0427930538816854,0.03942999830488245,0.036472043964065275
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,11,1.0425545378584489,0.015983670324385364,0.037722063329176
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,12,1.045937981791342,0.014665791369119172,0.04021112158746548
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,13,1.045946918912539,0.008842674454494328,0.04474731862190236
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,14,1.0423181684818432,0.021462206389954427,0.03778697276828824
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,15,1.046293734618358,0.006786116939395356,0.03633406944320197
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,16,1.0449484406765583,0.011201952824026548,0.003869209455004325
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,17,1.0454865919341119,0.011914088895080475,0.0057991787524256586
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,18,1.0481500343813352,0.002379878204146205,0.03539706321491025
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,19,1.0420445746699196,0.022430884935620083,0.03604591751577177
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,20,1.0475883905513574,0.0015904767885407257,0.037495821494634846
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,21,1.0472408774796151,0.008908970855525165,0.048273080901696436
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,22,1.0463227249647717,0.010733039380360857,0.06167646692317755
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,23,1.0458457245596344,0.014831800816213069,0.006242778980019725
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,24,1.0452401065839168,0.01137064442864621,0.03188588307169194
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,25,1.0433133843909679,0.043281913281597285,0.00653801400838238
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,26,1.045987934473653,0.009674718144948224,0.03532518987850536
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,27,1.044504900275215,0.011809688015115555,0.0386810925683938
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,28,1.045358817016102,0.008216727377919569,0.03672254530933517
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,sa_only,C4: SA only,SA only,29,1.0455614234820205,0.014382825625633425,0.03688355014586545
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,0,1.119016371213451,0.006769563626421914,0.0024123629305365848
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,1,1.1241659902652577,0.0026670175132288373,0.04455750010404134
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,2,1.1192067479864947,0.003776636514461555,0.035480308549754105
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,3,1.1241695307529618,0.0034251559955341964,0.011570600412224703
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,4,1.124570389907666,0.0038499458537616603,0.03544981205991365
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,5,1.124136239761218,0.003759616717991918,0.03399084795274945
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,6,1.1203341843440886,0.006094916673121592,0.033160915728035624
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,7,1.121990124742713,0.004647998381268681,0.003584812001154458
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,8,1.124047786798116,0.0035499519792815187,0.003851808279837056
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,9,1.12436857502876,0.0028458929768421888,0.038030010445311846
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,10,1.1223677734281199,0.003835329239599886,0.009767561233812243
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,11,1.1246561970561213,0.0033426180123274666,0.04783307984055424
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,12,1.1212091904140384,0.0051708051742578596,0.03691297248705775
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,13,1.1202416567201583,0.005800771156281313,0.00771286214690915
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,14,1.123285992040993,0.0029402970227013873,0.037886897789723754
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,15,1.12125616627773,0.005131296466083747,0.03650532612560511
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,16,1.1243548471319746,0.0022377855821806556,0.02088757425866117
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,17,1.1218087992648076,0.0049266470009824755,0.033861254173566245
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,18,1.1232289726387603,0.0024708838774068357,0.05203232846325462
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,19,1.1244433605818758,0.0030191381058631466,0.04147640718631161
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,20,1.119811099717047,0.004803741895788493,0.040229286335393535
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,21,1.1228869945108038,0.00325160043980728,0.004329510293479908
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,22,1.124247939519878,0.0034996918827657933,0.03408620648181021
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,23,1.1246657108918068,0.002829628322701831,0.005928599496954702
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,24,1.1216144889116453,0.004245989990789628,0.037347744202409466
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,25,1.1238284641237217,0.0027567919186502867,0.005682943259217132
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,26,1.1226414443088533,0.004294228531341226,0.036416077753274406
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,27,1.1230087810161804,0.00432043084919984,0.0033233495378171083
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,28,1.1236261127224612,0.0039266080376752005,0.03438258049996441
CIFAR-10,RPi-4,cifar10,raspi4_latency,sa_only,C4: SA only,SA only,29,1.1236568013308206,0.0040769457634300815,0.011637760346611493
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,0,1.0061280006122313,0.022328401852561075,0.02426178963737561
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,1,1.0095815682179543,0.01690725376018719,0.013260472557713466
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,2,1.0070256442272547,0.017647368408082276,0.01036475090055591
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,3,1.0081954487462859,0.022010812488866445,0.026491630865896003
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,4,1.0142230051888605,0.016834450568212894,0.019199541757453097
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,5,1.0054371662559953,0.018795012339054343,0.018170268112864568
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,6,1.0111521625956992,0.010102779573396158,0.018559267475945402
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,7,1.0092516078619342,0.015078221005201675,0.008241570256610911
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,8,0.9912797040345832,0.043389632877092875,0.005457722281856193
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,9,1.0021199811900043,0.019008487839042288,0.017232291498840143
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,10,1.0200036754006945,0.023592648399051924,0.008974847883133456
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,11,1.0059871270349388,0.065381437408571,0.022610089484530093
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,12,1.015762847035865,0.008104652580359225,0.024761316490234997
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,13,1.028339850708245,0.014091020687964128,0.009887073353881734
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,14,1.0276147555757844,0.015401219717422036,0.017533274872290124
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,15,1.0115919620497258,0.009936213953593346,0.006154518234328118
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,16,1.0105624873500765,0.017193725519687335,0.019544410009100066
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,17,1.0093306944292004,0.018092258179820363,0.012456879866310543
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,18,1.0089961826180738,0.0088014932549521,0.011949789425624862
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,19,1.0089523798974718,0.025488868007995165,0.016026212813162126
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,20,0.9995462743016993,0.018038869556930053,0.017491050179956977
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,21,1.009176750522864,0.014149051556124089,0.023092392800570054
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,22,1.0082485154905554,0.01527200504862889,0.01772851201330434
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,23,1.0089831324282117,0.009433157145069183,0.020967121137961314
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,24,1.025925400442458,0.013432404205907628,0.02224888567763547
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,25,1.0222862341643097,0.024122885255281303,0.01218943328897404
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,26,0.9261147288913685,0.12505952270471038,0.018861615633070684
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,27,0.9827622398395313,0.025198983534711363,0.01706745746935043
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,28,1.0089258565949277,0.009893273664932336,0.032981041388071175
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,sa_only,C4: SA only,SA only,29,1.0152611598759025,0.009315970291543447,0.008362215731311014
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,0,1.0158150440390175,0.0096208379093066,0.029322155634639278
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,1,1.0198113984453923,0.0031421341330205316,0.031898242195810715
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,2,0.9879349168077722,0.005404873372158473,0.003106114637083279
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,3,1.019973315437356,0.002368600995714929,0.03379891074213305
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,4,1.0178699049311288,0.004729721498129233,0.029653287612047715
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,5,1.016825613477642,0.0024562413202984393,0.030745024693392242
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,6,1.0177572586953028,0.002482403952247369,0.031322952008477956
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,7,1.0139574602623542,0.025220546586893742,0.0318277976322558
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,8,1.0131924798763665,0.012343021601914557,0.03860028473438908
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,9,1.0129963002896945,0.013688900932534062,0.02957333463012672
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,10,1.01591585130056,0.006524684319748622,0.030703249367350097
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,11,1.0188148370338437,0.002406463009660319,0.029679928754576906
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,12,1.0170200404691887,0.004244899760285361,0.02922016424999997
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,13,1.01668349036225,0.006824273788015377,0.028504937995951544
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,14,1.0190948388396144,0.0019034544954386115,0.02928739686479787
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,15,1.0171065739740692,0.009298188359381695,0.045702487416262656
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,sa_only,C4: SA only,SA only,16,1.0177597938300331,0.025055324144095944,0.0012485021939280146
