Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,0,1.0450145275066698,0.011732263299554145,0.20673817624662638,19.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,1,1.0463684174915957,0.02197360967870549,0.21752415886073373,16.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,2,1.0453759945032048,0.00994284889432265,0.0576238878944071,18.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,3,1.0475108345547082,0.009243887961391197,0.24896638392230555,12.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,4,1.048293142467089,0.010830152907294104,0.2254455906612324,15.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,5,1.047066285269116,0.008749463759893536,0.21136641538416123,18.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,6,1.0453296921306383,0.008836296374656624,0.24240261090296017,13.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,7,1.0458943155289182,0.01802733447057054,0.2095320464966693,18.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,8,1.0454302241993678,0.009591274727348659,0.19417551208796696,21.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,9,1.045833364800825,0.008129621785679003,0.19369302980373307,21.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,10,1.0462731037212487,0.016968431235046915,0.21711932568147593,19.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,11,1.046650087425808,0.008612344496856675,0.21747883692448963,17.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,12,1.0443411826034952,0.014551221830341365,0.04108096203816475,17.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,13,1.0474483523147442,0.0041534831549888095,0.21259991624133062,17.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,14,1.0454841874465173,0.00672205438830322,0.1893434693692347,22.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,15,1.0475757207492506,0.0054015293227338635,0.2135659082322137,17.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,16,1.0454612346397305,0.005620954835366222,0.21905737536180153,16.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,17,1.0449697256545667,0.011092576842003586,0.23098882681161623,14.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,18,1.0458709283307175,0.011601693585477153,0.22706412870422418,15.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,19,1.0474709662237733,0.008203339397874286,0.203136519176445,19.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,20,1.0453795065027538,0.011699082464148242,0.2019234681224575,20.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,21,1.0466652015296676,0.00849255765985922,0.198170227698163,20.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,22,1.046821895732301,0.005625590574748256,0.1900361611826415,22.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,23,1.04556840327832,0.00815525024998587,0.2308803815431475,15.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,24,1.04621009363412,0.024384781909952257,0.22259610336818483,16.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,25,1.0461757181735671,0.043304122372948305,0.2019970992110628,19.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,26,1.0466899829506002,0.008033018752513511,0.23095056318604773,14.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,27,1.047019798046917,0.00963499265415264,0.23297334103910117,14.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,28,1.0439377037637252,0.0076110607849483175,0.23818349723097948,13.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,Random Search,0,stage1_random,29,1.046902529141134,0.012600590241558629,0.2388138226008598,14.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,0,1.1576382691086682,0.004987277483172698,0.18697984250099486,22.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,1,1.1562768729199455,0.0035992934841338987,0.17205407815519932,27.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,2,1.1571630153422807,0.003990999669258494,0.16763903981457606,28.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,3,1.1567888945395828,0.0035458256135223703,0.15937278007562708,31.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,4,1.1563776454816515,0.004880668361156474,0.16159063661504666,31.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,5,1.156318687385581,0.007821669558979378,0.16500947427077584,29.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,6,1.156397376015879,0.005709796095292912,0.16263097529239828,31.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,7,1.1556744103608836,0.006629263034334422,0.1764888824110525,25.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,8,1.1567278850681806,0.005970825692611283,0.16964446653243992,27.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,9,1.1564522445947132,0.0033780195284711144,0.15359452283862446,35.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,10,1.1568304890986802,0.0039972233964009046,0.1571684666706549,33.0,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,Random Search,0,stage1_random,11,1.1564848555475806,0.0037149435765601903,0.15037896827186206,35.0,,
