Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,0,1.0485654818847057,0.0063039238619242224,0.010623183269842693,73.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,1,1.0488658508821316,0.006333651839110949,0.10582219867083,74.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,2,1.0484577886676307,0.0019604224643702903,0.010526806021368126,111.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,3,1.0488914786487518,0.0027484861096609536,0.0022265677093146795,72.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,4,1.0489540586600012,0.0008666577864653508,0.005497725249208856,178.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,5,1.0482413498545395,0.004784985384953775,0.11492222312092135,63.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,6,1.0485606376288883,0.000399166915816103,0.08146694124792762,126.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,7,1.04907722506837,0.0024834127316086746,0.010604868568504336,167.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,8,1.0463378867737398,0.003668990284943547,0.07649367671172348,146.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,9,1.0499260451301693,0.0021134404345703943,0.08709962475547461,112.0,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,10,1.0494002766592443,0.0012285147725585991,0.1031562555546974,80.0,,
