Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Pareto Points,exp_name,Label,Short,Spacing
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,0,1.048624143461275,0.0036653880832163686,672.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,1,1.0475811480339268,0.0050848901783313635,856.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,2,1.0481069031580532,0.005612974335651774,801.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,3,1.0462422020450464,0.005587332991078718,303.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,4,1.048402446673671,0.003914358609869023,569.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,5,1.0477845525525038,0.002814618121862357,386.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,6,1.047460196679432,0.006681674949044156,560.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,7,1.0478966715248046,0.005892598503076992,674.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,8,1.0485111027310798,0.003831905005753403,316.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,9,1.047487864694239,0.0036233265647718058,700.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,10,1.0480862944211768,0.0024943494568738143,835.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,11,1.0468294502594804,0.006030780411876241,285.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,12,1.0488267824610815,0.0034905587096417633,415.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,13,1.0473869419715918,0.006960772721563992,285.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,14,1.0482054651640194,0.005325966211419044,300.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,15,1.0476295034027503,0.004953927575096323,794.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,16,1.0470411603710263,0.006145452779868877,325.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,17,1.0473719587814334,0.005773364292234298,284.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,18,1.0456788250769147,0.07827459206785116,176.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,19,1.047427113240849,0.004766778862182849,634.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,20,1.0472698415423327,0.022431735638656088,734.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,21,1.0492191251270522,0.0019174689272024284,722.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,22,1.0457773131801151,0.008520816780833284,366.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,23,1.0487914906434341,0.003333673362615863,386.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,24,1.0481595084027722,0.004074007911534816,601.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,25,1.0483481234638208,0.004813251091335451,443.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,26,1.044872134604983,0.008092420978827649,300.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,27,1.0469054738628796,0.009006760272567051,502.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,28,1.0477962241247676,0.0018682747865988644,849.0,,,,
CIFAR-10,EdgeGPU,cifar10,edgegpu_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,29,1.0475348114442278,0.04605564792162049,92.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,0,1.1546425526198967,0.006842456376215652,266.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,1,1.1558470466618012,0.0029760951880122466,452.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,2,1.1567143406963913,0.005819264321928572,422.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,3,1.155260075583148,0.00450332776448399,606.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,4,1.1544898777713284,0.01019281620381287,494.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,5,1.1546100771741958,0.006009305423705526,511.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,6,1.1568533937704506,0.003197708506377628,675.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,7,1.1560136673742647,0.005415802726962072,601.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,8,1.1564690596521012,0.0039255704294839724,874.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,9,1.157327385542104,0.003881041606221365,613.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,10,1.1566462788622383,0.00330173135952511,714.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,11,1.1572270386478352,0.005056556249499757,800.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,12,1.1571010210963864,0.004752051920653879,431.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,13,1.15490398743007,0.00746526350793802,148.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,14,1.1570633270627186,0.0051134483920295595,481.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,15,1.1574440353579425,0.004059697736142809,814.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,16,1.1558724889450158,0.005130121552600881,843.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,17,1.1549110547903791,0.009920782533353625,245.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,18,1.1541963479300874,0.009078499845293762,648.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,19,1.1567761861180912,0.005216968929909286,541.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,20,1.1545877698916516,0.008077600454214493,669.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,21,1.1572853452888634,0.003145569805991246,201.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,22,1.1567292903651463,0.005690618583836966,463.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,23,1.1565895006528963,0.0038181353076765273,509.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,24,1.1577789565319658,0.002502468866536798,699.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,25,1.1565851335332866,0.006022809388950223,493.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,26,1.1567275972882498,0.0033442997373579484,529.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,27,1.156082764201173,0.004035012466848415,322.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,28,1.1570537455709657,0.003230862555924991,458.0,,,,
CIFAR-10,RPi-4,cifar10,raspi4_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,29,1.1576806193260407,0.004933355455540183,506.0,,,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D+GA+PSO,2,stage3_moead_ga_pso,0,1.0070515834935239,0.09653828256216003,249.0,,,,
