rank,name,hv_mean,hv_std,pf_mean,time_s
1,adaptive_eta0.10_c0.4_c0.6,1353.1647,4.8582,17.50,0.36
2,adaptive_eta0.15_c0.5_c0.5,1351.5057,4.6448,18.60,0.37
3,adaptive_eta0.10_c0.6_c0.4,1349.6250,4.2043,17.20,0.36
4,adaptive_eta0.10_c0.2_c0.8,1349.4495,6.7034,17.80,0.35
5,adaptive_eta0.10_c0.8_c0.2,1348.3904,9.0498,17.40,0.35
6,adaptive_eta0.10_c0.3_c0.7,1347.3273,8.7653,18.10,0.35
7,adaptive_velocity_eta0.10_p0.2,1346.7198,9.2717,17.30,0.38
8,adaptive_eta0.10_c0.7_c0.3,1346.3386,7.1174,17.00,0.35
9,adaptive_eta0.10_c0.5_c0.5 ★,1342.1860,34.6879,16.00,0.36
10,adaptive_velocity_eta0.10_p0.4,1340.6152,11.4490,16.00,0.37
11,adaptive_eta0.05_c0.5_c0.5,1339.6901,39.1017,17.70,0.59
12,adaptive_velocity_eta0.05_p0.3,1336.8088,33.7333,17.20,0.38
13,adaptive_eta0.20_c0.5_c0.5,1320.2027,47.8982,17.30,0.35
14,adaptive_velocity_eta0.10_p0.3,1311.4948,57.1191,16.30,0.37
