,,HV ↑,HV ↑,HV ↑,IGD ↓,IGD ↓,IGD ↓,Spacing ↓ ★,Spacing ↓ ★,Spacing ↓ ★,Max Spread ↑,Max Spread ↑,Max Spread ↑,HV p (vs NSGA-II),HV p (vs RS)
,,Proposed,NSGA-II,Random Search,Proposed,NSGA-II,Random Search,Proposed,NSGA-II,Random Search,Proposed,NSGA-II,Random Search,Bonferroni†,Bonferroni†
Dataset,Hardware,,,,,,,,,,,,,,
cifar10,edgegpu,1.0585 ± 0.0039,1.0612 ± 0.0026,1.0598 ± 0.0009,0.0096 ± 0.0100,0.0080 ± 0.0082,0.0096 ± 0.0026,0.0270 ± 0.0147,0.1800 ± 0.0330,0.2046 ± 0.0454,1.2864 ± 0.1133,1.3320 ± 0.1017,1.3458 ± 0.0335,0.0002*,1.0000
cifar10,raspi4,1.1618 ± 0.0011,1.1660 ± 0.0006,1.1643 ± 0.0007,0.0041 ± 0.0009,0.0017 ± 0.0006,0.0031 ± 0.0006,0.0317 ± 0.0206,0.1576 ± 0.0087,0.1583 ± 0.0261,1.1456 ± 0.0664,1.2914 ± 0.0545,1.2320 ± 0.0810,0.0000*,0.0000*
cifar10,eyeriss,1.1920 ± 0.0078,1.1967 ± 0.0004,1.1947 ± 0.0007,0.0067 ± 0.0029,0.0009 ± 0.0008,0.0066 ± 0.0028,0.0083 ± 0.0111,0.0369 ± 0.0127,0.0319 ± 0.0178,0.6567 ± 0.1467,0.8261 ± 0.0595,0.7007 ± 0.1509,0.0000*,1.0000
cifar100,edgegpu,1.0236 ± 0.0062,1.0231 ± 0.0237,1.0245 ± 0.0015,0.0055 ± 0.0050,0.0037 ± 0.0046,0.0111 ± 0.0032,0.0234 ± 0.0092,0.1471 ± 0.0430,0.1751 ± 0.0304,1.3615 ± 0.0974,1.3251 ± 0.1604,1.3604 ± 0.0482,0.0106*,1.0000
cifar100,raspi4,1.1228 ± 0.0070,1.1371 ± 0.0021,1.1320 ± 0.0016,0.0082 ± 0.0071,0.0019 ± 0.0009,0.0044 ± 0.0027,0.0284 ± 0.0057,0.1279 ± 0.0301,0.1369 ± 0.0366,1.1949 ± 0.0789,1.3272 ± 0.1356,1.3029 ± 0.0608,0.0000*,0.0000*
cifar100,eyeriss,1.1544 ± 0.0154,1.1745 ± 0.0017,1.1693 ± 0.0021,0.0057 ± 0.0066,0.0035 ± 0.0054,0.0176 ± 0.0104,0.0086 ± 0.0076,0.0573 ± 0.0238,0.0445 ± 0.0180,0.7879 ± 0.1748,0.9178 ± 0.1357,0.8103 ± 0.1210,0.0000*,0.0693
ImageNet16-120,edgegpu,1.0055 ± 0.0115,1.0169 ± 0.0072,1.0115 ± 0.0024,0.0183 ± 0.0124,0.0099 ± 0.0054,0.0219 ± 0.0050,0.0178 ± 0.0079,0.1153 ± 0.0219,0.1193 ± 0.0320,1.2306 ± 0.1644,1.2647 ± 0.1048,1.2966 ± 0.0752,0.0002*,1.0000
ImageNet16-120,raspi4,1.0645 ± 0.0083,1.0728 ± 0.0056,1.0651 ± 0.0029,0.0145 ± 0.0109,0.0065 ± 0.0058,0.0179 ± 0.0047,0.0205 ± 0.0087,0.0895 ± 0.0219,0.0972 ± 0.0214,1.1492 ± 0.1431,1.1671 ± 0.1258,1.2320 ± 0.0792,0.0001*,1.0000
ImageNet16-120,eyeriss,1.0678 ± 0.0307,1.1319 ± 0.0049,1.1213 ± 0.0032,0.0085 ± 0.0134,0.0447 ± 0.0611,0.0962 ± 0.0723,0.0084 ± 0.0067,0.0381 ± 0.0161,0.0512 ± 0.0224,0.8338 ± 0.1374,0.8734 ± 0.0824,0.8615 ± 0.1324,0.0000*,0.0000*
